2024-01-30 20:58:49.209 [info] Extension host with pid 5366 started
2024-01-30 20:58:49.238 [info] Lock '/home/jagaimo/jagaimo/.vscode-server/data/User/workspaceStorage/05eec0cb8e9457c43af9fade71b95ad7/vscode.lock': Lock acquired.
2024-01-30 20:58:49.393 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-01-30 20:58:49.533 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-01-30 20:58:49.534 [info] ExtensionService#_doActivateExtension HookyQR.beautify, startup: true, activationEvent: '*'
2024-01-30 20:58:49.679 [info] ExtensionService#_doActivateExtension Shopify.ruby-lsp, startup: true, activationEvent: 'workspaceContains:Gemfile.lock'
2024-01-30 20:58:49.954 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-01-30 20:58:49.955 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-01-30 20:58:50.217 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-01-30 20:58:50.218 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-01-30 20:58:50.666 [info] ExtensionService#_doActivateExtension github.vscode-github-actions, startup: true, activationEvent: 'workspaceContains:**/.github/workflows/**'
2024-01-30 20:58:59.542 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-01-30 20:58:59.543 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-01-30 20:58:59.544 [info] ExtensionService#_doActivateExtension smallStall.auto-arrange-tabs, startup: false, activationEvent: 'onStartupFinished'
2024-01-30 20:59:27.301 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
