2024-02-01 09:08:35.165 [info] Extension host with pid 309 started
2024-02-01 09:08:35.165 [error] Error: EEXIST: file already exists, open '/home/jagaimo/jagaimo/.vscode-server/data/User/workspaceStorage/b0670bd9501272b8415ef5b27d7ea4aa/vscode.lock'
2024-02-01 09:08:35.175 [info] Lock '/home/jagaimo/jagaimo/.vscode-server/data/User/workspaceStorage/b0670bd9501272b8415ef5b27d7ea4aa/vscode.lock': Could not acquire lock, checking if the file is stale.
2024-02-01 09:08:35.196 [info] Lock '/home/jagaimo/jagaimo/.vscode-server/data/User/workspaceStorage/b0670bd9501272b8415ef5b27d7ea4aa/vscode.lock': The pid 16699 appears to be gone.
2024-02-01 09:08:35.196 [info] Lock '/home/jagaimo/jagaimo/.vscode-server/data/User/workspaceStorage/b0670bd9501272b8415ef5b27d7ea4aa/vscode.lock': Deleting a stale lock.
2024-02-01 09:08:35.204 [info] Lock '/home/jagaimo/jagaimo/.vscode-server/data/User/workspaceStorage/b0670bd9501272b8415ef5b27d7ea4aa/vscode.lock': Lock acquired.
2024-02-01 09:08:35.319 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-02-01 09:08:35.320 [info] ExtensionService#_doActivateExtension github.vscode-github-actions, startup: false, activationEvent: 'onLanguage:github-actions-workflow'
2024-02-01 09:08:35.846 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-02-01 09:08:35.847 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-02-01 09:08:36.345 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-02-01 09:08:36.346 [info] ExtensionService#_doActivateExtension HookyQR.beautify, startup: true, activationEvent: '*'
2024-02-01 09:08:36.441 [info] ExtensionService#_doActivateExtension Shopify.ruby-lsp, startup: true, activationEvent: 'workspaceContains:Gemfile.lock'
2024-02-01 09:08:36.516 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-02-01 09:08:36.517 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-02-01 09:08:46.352 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-02-01 09:08:46.353 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-02-01 09:08:46.353 [info] ExtensionService#_doActivateExtension smallStall.auto-arrange-tabs, startup: false, activationEvent: 'onStartupFinished'
